Back,Voltar
Execute Action,Executar Ação
Reset,Resetar
Attribute Code,Código de Atributo
Anonymizer,Anonimizador
Add Attribute's Anonymizer,Adicionar Anonimizador de Atributo
Component,Componente
Processor,Processador
Add Component Erasure Strategy,Adicionar Estratégia de Exclusão de Componente
Erase Personal Data,Apagar Dados Pessoais
Are you sure you want to do this?,Você tem certeza de que deseja fazer isso?
Export Personal Data,Exportar Dados Pessoais
The action state is now: %1.,O estado da ação agora é: %1.
An error occurred on the server.,Ocorreu um erro no servidor.
View Actions,Ver Ações
LGPD,LGPD
Please correct the data sent.,"Por favor, corrija os dados enviados."
"Action with ID ""%1"": %2","Ação com ID ""%1"": %2"
A total of %1 record(s) have been deleted.,Um total de %1 registro(s) foram apagados.
Execute New Action,Executar Nova Ação
You erased the order.,Você apagou o pedido.
You erased the customer.,Você apagou o cliente.
"Customer with id ""%1"": %2","Cliente com ID ""%1"": %2"
A total of %1 record(s) were erased.,Um total de %1 registro(s) foram apagados.
The document does not exists and may have expired. Please renew your demand.,"O documento não existe ou pode ter expirado. Por favor, renove sua solicitação."
"Something went wrong, please try again later!","Algo deu errado, por favor, tente novamente mais tarde!"
Your personal data is being removed soon.,Seus dados pessoais estão prestes a serem removidos.
You will be notified when the export is ready.,Você será notificado quando a exportação estiver pronta.
A document is already available in your order page.,Um documento já está disponível na página do seu pedido.
You canceled your personal data deletion.,Você cancelou a exclusão dos seus dados pessoais.
Your account is already being removed.,Sua conta já está sendo removida.
The session initialization has failed.,A inicialização da sessão falhou.
You did not sign in correctly or your account is temporarily disabled.,Você não fez login corretamente ou sua conta está temporariamente desativada.
A document is already available in your account.,Já existe um documento disponível em sua conta.
You canceled your account deletion.,Você cancelou a exclusão da sua conta.
Could not save the entity.,Não foi possível salvar a entidade.
"Could not delete entity with id ""%1"".","Não foi possível excluir a entidade com o ID ""%1""."
"File ""%1"" does not exists.","O arquivo ""%1"" não existe."
Succeeded,Bem-sucedido
Failed,Falha
"Impossible to initiate the erasure, it's already processing or there is still pending orders.","Impossível iniciar a exclusão, ele já está em processamento ou ainda existem pedidos pendentes."
The erasure process is running and cannot be undone.,O processo de exclusão está em execução e não pode ser desfeito.
"Impossible to process the erasure, there is still pending orders.","Impossível processar a exclusão, ainda existem pedidos pendentes."
Impossible to process the erasure: %1,Impossível processar a exclusão: %1
"An export entity already exists for the entity type ""%1"" with ID ""%2"".","Já existe uma entidade de exportação para o tipo de entidade ""%1"" com ID ""%2""."
LGPD Email Success,Sucesso do E-mail LGPD
LGPD Email Error: %1,Erro do E-mail LGPD: %1
"State ""%1"" does not exists.","O estado ""%1"" não existe."
* Required Fields,* Campos Obrigatórios
Confirm password to continue,Confirme a senha para continuar
Password,Senha
Erase Account,Apagar Conta
Warning,Aviso
Do you really want to erase your personal data?,Você realmente deseja apagar seus dados pessoais?
Right to be forgotten,Direito de ser esquecido
Your account will be erased soon. You can undo this action.,Sua conta será apagada em breve. Você pode desfazer esta ação.
Undo Action,Desfazer Ação
Your account cannot be erased while you have pending orders.,Sua conta não pode ser apagada enquanto você tiver pedidos pendentes.
Download Personal Data,Baixar Dados Pessoais
Your personal data document is pending export.,Seu documento de dados pessoais está pendente de exportação.
Information,Informação
We use cookies to make your experience better.,Nós utilizamos cookies para melhorar sua experiência.
"<a href=""%1"">Learn more</a>.",Saiba mais.
Allow Cookies,Permitir Cookies
Undo Erase Personal Data,Desfazer exclusão de Dados Pessoais
Cancellation of the erase of your %store_name information,Cancelamento da exclusão das suas informações da %store_name
"%name,","%name,"
We have received a request to cancel the erasure of the information associated with your account at %store_name.,Recebemos uma solicitação para cancelar a exclusão das informações associadas à sua conta na %store_name.
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Se você não autorizou esta ação, entre em contato conosco imediatamente pelo e-mail %store_email"
Erase your %store_name information,Apagar suas informações da %store_name
We have received a request to erase the information associated with your account at %store_name.,Recebemos uma solicitação para apagar as informações associadas à sua conta na %store_name.
"You can cancel the erase within %delay hours by <a href=""%account_url"">logging into your account</a>.",Você pode cancelar a exclusão dentro de %delay horas fazendo login em sua conta.
Erasure of your %store_name information,Exclusão das suas informações da %store_name
We have successfully erased the information associated with your account at %store_name.,Apagamos com sucesso as informações associadas à sua conta na %store_name.
Export your %store_name information,Exportar suas informações da %store_name
We have received a request to export the information associated with your account at %store_name.,Recebemos uma solicitação para exportar as informações associadas à sua conta na %store_name.
We will notify you when the export will be ready. The action will be available in your account.,Notificaremos você quando a exportação estiver pronta. A ação estará disponível em sua conta.
The export of you personal data is ready. The action is now available in your account.,A exportação dos seus dados pessoais está pronta. A ação está agora disponível em sua conta.
LGPD Compliance Erase Customer,Conformidade LGPD Apagar Cliente
LGPD Compliance Export Customer,Conformidade LGPD Exportar Cliente
LGPD Compliance Erase Guest Order,Conformidade LGPD Apagar Pedido de Visitante
LGPD Compliance Export Guest Order,Conformidade LGPD Exportar Pedido de Visitante
LGPD Actions,Ações LGPD
Execute Actions,Executar Ações
Edit Actions,Editar Ações
Delete Actions,Apagar Ações
LGPD Compliance Section,Seção de Conformidade LGPD
Action Logs,Logs de Ações
LGPD Compliance,Conformidade LGPD
User Action,Ação do Usuário
Action Settings,Configurações de Ação
Cookie Policy,Política de Cookies
Cookie Settings,Configurações de Cookies
Improve Cookie Restriction Message,Melhorar Mensagem de Restrição de Cookies
"It will allows to replace the default cookie restriction popin with content of your own. Make sure that the following configuration is enabled: ""General / Web / Default Cookie Settings / Cookie Restriction Mode"".","Permite substituir o popin padrão de restrição de cookies por um conteúdo próprio. Certifique-se de que a seguinte configuração esteja habilitada: ""Geral / Web / Configurações Padrão de Cookies / Modo de Restrição de Cookies""."
Information Block,Bloco de Informações
Information Page,Página de Informações
Data Erasure,Exclusão de Dados
Right To Erasure,Direito Aa exclusão
Erasure,Exclusão
It will enable the erase action to the storefront.,Habilita a ação de exclusão na loja.
Erasure Delay,Atraso da exclusão
Erasure delay in minute before the execution by the cron. From 60 to 43800.,Atraso da exclusão em minutos antes da execução pelo cron. De 60 a 43800.
Erase Entity Cron Schedule,Cronograma de Apagar Entidade
Entities Lifetime,Tempo de Vida das Entidades
The time is in days.,O tempo está em dias.
Erase Old Entities Cron Schedule,Cronograma de Apagar Entidades Antigas
Sales Information Lifetime,Tempo de Vida das Informações de Vendas
